date;close;high;low;open
10/1/2011;20729.0;20980.0;20266.0;20528.0
11/1/2011;20985.0;21093.0;20543.0;21093.0
12/1/2011;20690.0;21033.0;20481.0;20481.0
1/1/2012;21020.0;21033.0;19200.0;21033.0
2/1/2012;20805.0;21020.0;20473.0;21020.0
3/1/2012;20534.0;20870.0;20357.0;20810.0
4/1/2012;20815.0;20850.0;20477.0;20805.0
5/1/2012;20605.0;20850.0;20370.0;20850.0
6/1/2012;20450.0;20975.0;20362.0;20850.0
7/1/2012;20830.0;20875.0;20388.0;20520.0
8/1/2012;20533.0;20870.0;20375.0;20845.0
9/1/2012;20679.0;20865.0;20331.0;20531.0
10/1/2012;20623.0;20875.0;20422.0;20860.0
11/1/2012;20573.0;20845.0;20435.0;20830.0
12/1/2012;20515.0;20835.0;20422.0;20571.0
1/1/2013;20501.0;20835.0;20.0;20486.0
2/1/2013;20748.0;20920.0;20488.0;20825.0
3/1/2013;20620.0;20940.0;20469.0;20905.0
4/1/2013;20393.0;20930.0;20393.0;20930.0
5/1/2013;20699.0;21011.0;20535.0;20910.0
6/1/2013;20992.0;21145.0;20501.0;20850.0
7/1/2013;21090.0;21240.0;3.672.800.064.086.910;20987.0
8/1/2013;20879.0;21170.0;20691.0;21090.0
9/1/2013;21090.0;21125.0;20590.0;21090.0
10/1/2013;21090.0;21100.0;20652.0;21090.0
11/1/2013;20851.0;21105.0;20684.0;21090.0
12/1/2013;21055.0;21110.0;20746.0;20851.0
1/1/2014;21041.0;21075.0;20682.0;20835.0
2/1/2014;21050.0;21085.0;20695.0;20859.0
3/1/2014;21048.0;21085.0;2.105.500.030.517.570;20798.0
4/1/2014;3210.0;21090.0;3210.0;20843.0
5/1/2014;21090.0;21145.0;21.0;20733.0
6/1/2014;21201.0;21325.0;20837.0;20837.0
7/1/2014;3211.0;21300.0;3211.0;20972.0
8/1/2014;20979.0;21200.0;0.0004349999944679439;20933.0
9/1/2014;20850.0;21209.0;20812.0;20984.0
10/1/2014;21058.0;21275.0;20612.0;20850.0
11/1/2014;21070.0;21390.0;20847.0;21058.0
12/1/2014;21062.0;21390.0;20850.0;21098.0
1/1/2015;21074.0;21509.0;20867.0;21157.0
2/1/2015;20984.0;21345.0;20776.0;21023.0
3/1/2015;21186.0;21525.0;20556.0;21094.0
4/1/2015;21575.0;21585.0;200.0;21555.0
5/1/2015;21785.0;21800.0;21575.0;21575.0
6/1/2015;21785.0;21790.0;21770.0;21790.0
7/1/2015;21465.0;21795.0;21297.0;21780.0
8/1/2015;22129.0;22500.0;8149.0;21459.0
9/1/2015;22105.0;22485.0;21926.0;22094.0
10/1/2015;22.727.270.126.342.700;22455.0;22.727.270.126.342.700;22205.0
11/1/2015;22121.0;22470.0;228.310.489.654.541;21948.0
12/1/2015;22185.0;22520.0;228.310.489.654.541;22135.0
1/1/2016;22.779.040.336.608.800;22470.0;22.727.270.126.342.700;22185.0
2/1/2016;21941.0;22375.0;22.675.740.718.841.500;22016.0
3/1/2016;21934.0;22310.0;2.257.335.901.260.370;21953.0
4/1/2016;21839.0;22285.0;2.257.335.901.260.370;21937.0
5/1/2016;22020.0;22380.0;22.522.521.018.981.900;22.522.521.018.981.900
6/1/2016;22028.0;22420.0;2.232.142.925.262.450;22062.0
7/1/2016;22.522.521.018.981.900;22275.0;2.257.335.901.260.370;22024.0
8/1/2016;21917.0;22275.0;22.624.430.656.433.100;21825.0
9/1/2016;21797.0;22290.0;22.675.740.718.841.500;21916.0
10/1/2016;21916.0;22335.0;22.522.521.018.981.900;22.522.521.018.981.900
11/1/2016;22291.0;22437.0;22.624.430.656.433.100;21923.0
12/1/2016;23.255.810.737.609.800;22777.0;23.041.470.050.811.700;22401.0
1/1/2017;22132.0;22770.0;228.310.489.654.541;23.255.810.737.609.800
2/1/2017;22760.0;22830.0;2.288.330.078.125;22128.0
3/1/2017;22435.0;22840.0;23.041.470.050.811.700;22461.0
4/1/2017;2.320.185.899.734.490;22760.0;23.041.470.050.811.700;2.320.185.899.734.490
5/1/2017;22304.0;22740.0;22.935.779.094.696.000;22445.0
6/1/2017;22338.0;22742.0;22.935.779.094.696.000;22307.0
7/1/2017;22181.0;22744.0;22.988.510.131.835.900;23.041.470.050.811.700
8/1/2017;22290.0;22738.0;2.288.330.078.125;22217.0
9/1/2017;2.320.185.899.734.490;22735.0;23.041.470.050.811.700;22303.0
10/1/2017;22351.0;22728.0;23.041.470.050.811.700;2.320.185.899.734.490
11/1/2017;22275.0;22775.0;22229.0;22367.0
12/1/2017;22343.0;22683.5;22183.0;22245.0
1/1/2018;2.266.180.078.125;22752.0;22158.0;22343.0
2/1/2018;2.271.880.078.125;22844.0;22190.0;22450.0
3/1/2018;22.777.900.390.625;22784.5;22261.0;22483.0
4/1/2018;22728.5;22794.5;22368.0;22471.0
5/1/2018;22820.0;22820.0;22358.0;22462.0
6/1/2018;22906.0;22985.0;22362.0;22436.0
7/1/2018;23222.5;23248.0;22.537.599.609.375;22646.0
8/1/2018;23268.0;23284.0;2.276.019.921.875;23.026.099.609.375
9/1/2018;23312.5;23313.5;22.792.099.609.375;2.302.569.921.875
10/1/2018;23310.0;2.332.819.921.875;22.899.099.609.375;22.935.099.609.375
11/1/2018;23292.5;23327.5;2.277.130.078.125;2.302.430.078.125
12/1/2018;23194.0;23298.0;22850.0;22.927.900.390.625
1/1/2019;23194.0;23203.0;22.653.099.609.375;22.789.900.390.625
2/1/2019;23198.0;23203.0;22.710.599.609.375;2.292.880.078.125
3/1/2019;23198.0;23198.0;22.709.599.609.375;2.294.380.078.125
4/1/2019;23.254.900.390.625;2.326.030.078.125;2.281.830.078.125;2.286.130.078.125
5/1/2019;2.338.269.921.875;23385.0;22827.0;2.292.219.921.875
6/1/2019;23280.0;23.379.099.609.375;2.277.819.921.875;2.307.430.078.125
7/1/2019;23207.0;23225.0;22.762.599.609.375;22.997.900.390.625
8/1/2019;23207.0;23234.0;22.459.900.390.625;23.028.599.609.375
9/1/2019;22.835.099.609.375;23207.0;22626.5;2.287.080.078.125
10/1/2019;23207.0;23207.0;22.739.955.078.125;2.288.180.078.125
11/1/2019;23207.0;23207.0;22.764.603.515.625;22.837.599.609.375
12/1/2019;23171.0;23207.0;2.267.836.328.125;22.771.517.578.125
1/1/2020;23182.0;23182.0;22.744.150.390.625;23171.0
2/1/2020;23240.0;23240.0;227.875.859.375;23182.0
3/1/2020;23631.0;23631.0;22.730.123.046.875;227.875.859.375
4/1/2020;23444.0;23631.0;229.220.390.625;23631.0
5/1/2020;23309.0;23444.0;22.743.736.328.125;2.291.069.921.875
6/1/2020;23264.0;23280.0;22.647.486.328.125;23280.0
7/1/2020;23175.0;23264.0;22.610.673.828.125;23264.0
8/1/2020;23174.0;23185.0;22.610.673.828.125;22.610.673.828.125
9/1/2020;23190.0;23195.0;22.728.638.671.875;22.796.490.234.375
10/1/2020;23170.0;23206.0;227.874.609.375;23181.0
11/1/2020;23160.0;23182.0;22.743.130.859.375;22.877.634.765.625
12/1/2020;23088.0;23177.0;226.098.203.125;23140.0
1/1/2021;23048.0;23129.0;22.613.265.625;23070.0
2/1/2021;23025.0;23061.0;22.596.908.203.125;23048.0
3/1/2021;23070.0;23090.0;22.651.580.078.125;23015.0
4/1/2021;23054.0;23092.0;22.576.287.109.375;2.274.062.109.375
5/1/2021;23045.0;23068.0;225.622.265.625;22.837.033.203.125
6/1/2021;23020.0;23052.0;226.032.265.625;23040.0
7/1/2021;22965.0;23028.0;2.258.451.171.875;23014.0
8/1/2021;22775.0;22965.0;224.156.171.875;22965.0
9/1/2021;22753.0;22784.0;22.358.470.703.125;22775.0
10/1/2021;22750.0;22762.0;22.260.353.515.625;22750.0
11/1/2021;22690.0;22757.0;22.292.529.296.875;22750.0
12/1/2021;22765.0;23110.0;22685.0;22688.0
1/1/2022;22645.0;22830.0;22610.0;22765.0
2/1/2022;22820.0;22850.0;22635.0;22645.0
3/1/2022;22854.0;22895.0;22800.0;22805.0
4/1/2022;22956.0;22983.0;22830.0;22838.0
5/1/2022;23176.0;23215.0;22935.0;22956.0
6/1/2022;23265.0;23285.0;23155.0;23185.0
